StudentID,PreferredCenter,AssignedCenterDay0,AssignedCenterDay1,PenaltyDay0,PenaltyDay1
164,L,L,L,0,0
165,C,I,A,6,5
166,D,D,A,1,5
167,D,D,A,1,5
168,D,A,A,5,5
169,J,J,J,0,0
170,F,A,F,6,0
171,C,C,C,0,0
172,B,E,E,5,5
173,K,C,K,6,0
174,C,C,B,1,1
175,H,G,H,2,0
176,F,F,C,1,5
177,K,K,K,0,0
178,F,B,B,5,5
179,L,L,B,1,5
180,C,C,C,0,0
181,K,K,K,0,0
182,F,F,F,0,0
183,A,A,B,1,1
184,I,I,I,0,0
185,A,D,B,6,1
186,H,H,H,0,0
187,B,A,B,2,0
188,G,G,G,0,0
189,B,C,C,1,1
190,G,A,G,6,0
191,K,B,B,5,5
192,E,E,E,0,0
193,A,A,A,0,0
194,K,K,K,0,0
195,D,D,A,1,5
196,H,H,A,1,5
197,A,A,A,0,0
198,C,D,C,2,0
199,F,F,A,1,5
200,B,C,B,2,0
201,A,A,B,1,1
202,G,G,G,0,0
203,C,C,C,0,0
204,J,J,A,1,5
205,L,L,A,1,5
206,F,A,F,6,0
207,E,E,B,1,5
208,F,A,A,5,5
209,L,A,A,5,5
210,G,G,A,1,5
211,B,B,A,1,1
212,A,D,D,5,5
213,A,A,A,0,0
214,G,G,A,1,5
215,B,C,A,2,1
216,H,H,H,0,0
217,B,C,C,1,1
218,H,H,H,0,0
219,H,H,H,0,0
220,A,A,A,0,0
221,A,A,A,0,0
222,F,B,A,6,5
223,H,H,H,0,0
224,K,K,A,1,5
225,L,B,L,6,0
226,J,J,J,0,0
227,G,C,A,6,5
228,A,A,A,0,0
229,I,D,D,5,5
230,E,A,A,5,5
231,G,A,H,6,1
232,G,A,A,5,5
233,C,C,A,1,5
234,L,L,F,1,5
235,E,A,C,6,5
236,G,A,A,5,5
237,A,B,C,2,5
238,C,A,B,6,1
239,A,A,A,0,0
240,J,A,D,6,5
241,F,C,C,5,5
242,L,B,C,6,5
243,I,I,A,1,5
244,E,A,B,6,5
245,J,J,J,0,0
246,E,E,C,1,5
247,H,A,H,6,0
248,K,K,B,1,5
249,I,A,A,5,5
250,L,K,L,2,0
251,D,A,D,6,0
252,I,I,I,0,0
253,C,D,C,2,0
254,E,B,C,6,5
255,D,I,D,6,0
256,B,A,B,2,0
257,L,L,A,1,5
258,I,I,I,0,0
259,A,B,A,2,0
260,K,A,A,5,5
261,E,E,A,1,5
262,L,L,B,1,5
263,K,K,K,0,0
264,I,A,A,5,5
265,L,L,A,1,5
266,K,B,B,5,5
267,H,H,A,1,5
268,B,A,A,1,1
269,L,B,B,5,5
270,A,E,A,6,0
271,F,A,F,6,0
272,K,K,K,0,0
273,D,D,A,1,5
274,L,B,B,5,5
275,K,K,A,1,5
276,H,H,A,1,5
277,A,A,D,1,5
278,C,A,B,6,1
279,B,B,B,0,0
280,J,B,B,5,5
281,F,F,A,1,5
282,K,B,B,5,5
283,H,H,H,0,0
284,C,C,C,0,0
285,D,C,C,1,1
286,F,C,C,5,5
287,D,B,D,6,0
288,I,A,A,5,5
289,D,B,B,5,5
290,I,I,H,1,1
291,K,A,C,6,5
292,D,B,A,6,5
293,L,L,L,0,0
294,J,J,A,1,5
295,F,B,B,5,5
296,H,H,A,1,5
297,J,J,A,1,5
298,G,A,G,6,0
299,A,A,A,0,0
300,L,A,C,6,5
301,B,A,A,1,1
302,J,J,J,0,0
303,B,B,B,0,0
304,L,L,L,0,0
305,I,I,C,1,5
306,F,F,C,1,5
307,A,A,A,0,0
308,L,K,L,2,0
309,K,A,L,6,1
310,E,E,E,0,0
311,A,A,A,0,0
312,J,J,A,1,5
313,F,A,C,6,5
314,A,A,A,0,0
315,E,C,E,6,0
316,F,C,F,6,0
317,A,D,D,5,5
318,L,L,L,0,0
319,B,H,H,5,5
320,F,A,E,6,1
321,K,L,B,2,5
322,K,A,K,6,0
323,B,B,A,1,1
324,F,B,F,6,0
325,L,L,L,0,0
326,J,J,A,1,5
327,A,F,F,5,5
328,G,G,G,0,0
329,F,A,A,5,5
330,A,A,B,1,1
331,A,A,C,1,5
332,I,B,B,5,5
333,D,E,D,2,0
334,L,L,L,0,0
335,D,A,G,6,5
336,F,F,A,1,5
337,K,B,A,6,5
338,I,I,C,1,5
339,G,G,B,1,5
340,D,A,C,6,1
341,G,G,A,1,5
342,A,A,A,0,0
343,E,A,A,5,5
344,I,B,I,6,0
345,F,F,A,1,5
346,H,A,H,6,0
347,L,L,L,0,0
348,H,A,A,5,5
349,H,H,G,1,1
350,F,A,D,6,5
351,B,B,C,1,1
352,G,G,A,1,5
353,A,E,E,5,5
354,H,H,A,1,5
355,C,C,C,0,0
356,G,C,A,6,5
357,I,D,H,6,1
358,E,E,A,1,5
359,K,K,K,0,0
360,B,A,B,2,0
361,G,G,G,0,0
362,H,C,A,6,5
363,J,A,J,6,0
364,K,E,B,6,5
365,K,C,A,6,5
366,F,A,F,6,0
367,A,C,B,6,1
368,B,B,C,1,1
369,K,F,F,5,5
370,B,I,G,6,5
371,I,I,I,0,0
372,J,J,J,0,0
373,A,A,A,0,0
374,C,A,A,5,5
375,A,B,B,1,1
376,I,B,B,5,5
377,J,J,J,0,0
378,J,A,J,6,0
379,E,E,A,1,5
380,E,B,E,6,0
381,L,L,A,1,5
382,K,L,K,2,0
383,H,D,H,6,0
384,F,F,F,0,0
385,C,C,C,0,0
386,K,K,A,1,5
387,L,B,A,6,5
388,F,B,A,6,5
389,D,D,A,1,5
390,J,J,J,0,0
391,J,B,A,6,5
392,I,I,C,1,5
393,C,E,E,5,5
394,D,D,C,1,1
395,G,A,G,6,0
396,D,D,D,0,0
397,H,H,A,1,5
398,G,A,A,5,5
399,D,A,A,5,5
400,K,K,K,0,0
401,K,D,D,5,5
402,L,L,A,1,5
403,L,L,A,1,5
404,B,B,C,1,1
405,H,H,A,1,5
406,B,C,C,1,1
407,C,C,A,1,5
408,L,A,L,6,0
409,A,E,D,6,5
410,E,A,E,6,0
411,J,A,A,5,5
412,C,C,C,0,0
413,B,B,B,0,0
414,G,G,H,1,1
415,L,E,E,5,5
416,I,I,I,0,0
417,G,G,G,0,0
418,J,J,I,1,1
419,G,D,D,5,5
420,A,D,D,5,5
421,H,H,G,1,1
422,A,A,H,1,5
423,H,H,H,0,0
424,F,A,A,5,5
425,B,A,B,2,0
426,J,A,B,6,5
427,K,K,A,1,5
428,I,C,I,6,0
429,E,B,B,5,5
430,J,A,A,5,5
431,A,D,D,5,5
432,I,A,C,6,5
433,D,A,A,5,5
434,A,A,A,0,0
435,D,E,E,1,1
436,E,E,D,1,1
437,K,K,J,1,1
438,A,A,B,1,1
439,K,K,B,1,5
440,C,C,C,0,0
441,C,C,C,0,0
442,C,C,B,1,1
443,G,G,C,1,5
444,E,A,E,6,0
445,J,J,B,1,5
446,H,A,D,6,5
447,C,A,B,6,1
448,K,K,J,1,1
449,F,F,F,0,0
450,D,A,D,6,0
451,C,C,A,1,5
452,H,H,H,0,0
453,K,K,L,1,1
454,B,E,E,5,5
455,C,A,A,5,5
456,G,A,A,5,5
457,L,L,A,1,5
458,H,A,A,5,5
459,G,A,A,5,5
460,G,G,F,1,1
461,K,K,H,1,5
462,H,H,H,0,0
463,B,B,B,0,0
464,D,D,B,1,5
465,B,A,B,2,0
466,D,D,D,0,0
467,A,A,D,1,5
468,I,B,B,5,5
469,F,E,I,2,5
470,B,B,D,1,5
471,F,F,F,0,0
472,H,A,C,6,5
473,D,A,B,6,5
474,J,J,J,0,0
475,C,B,C,2,0
476,C,C,C,0,0
477,K,D,D,5,5
478,I,I,A,1,5
479,G,G,H,1,1
480,K,K,K,0,0
481,E,E,E,0,0
482,L,L,L,0,0
483,I,A,A,5,5
484,B,A,B,2,0
485,K,K,K,0,0
486,L,L,A,1,5
487,K,A,A,5,5
488,G,G,C,1,5
489,E,E,A,1,5
490,A,A,A,0,0
491,F,A,C,6,5
492,H,H,H,0,0
493,F,F,F,0,0
494,L,L,C,1,5
495,I,A,B,6,5
496,A,A,A,0,0
497,L,E,E,5,5
498,B,B,A,1,1
499,D,D,E,1,1
500,A,A,A,0,0
501,B,D,B,6,0
502,H,C,C,5,5
503,I,I,I,0,0
504,E,E,E,0,0
505,L,A,A,5,5
506,C,C,B,1,1
507,K,A,A,5,5
508,B,B,B,0,0
509,C,C,C,0,0
510,B,A,D,2,5
511,B,D,A,6,1
512,L,K,L,2,0
513,L,L,C,1,5
514,J,B,B,5,5
515,E,A,A,5,5
516,A,A,C,1,5
517,K,B,B,5,5
518,L,L,B,1,5
519,G,G,G,0,0
520,D,D,A,1,5
521,F,F,A,1,5
522,C,C,B,1,1
523,C,C,A,1,5
524,J,J,B,1,5
525,B,A,E,2,5
526,J,J,D,1,5
527,G,G,G,0,0
528,D,D,D,0,0
529,I,I,I,0,0
530,L,B,L,6,0
531,F,H,F,6,0
532,F,F,F,0,0
533,I,I,A,1,5
534,H,H,H,0,0
535,G,A,A,5,5
536,D,C,C,1,1
537,C,A,C,6,0
538,F,F,F,0,0
539,G,B,G,6,0
540,E,A,A,5,5
541,D,E,A,2,5
542,K,B,B,5,5
543,I,I,I,0,0
544,B,D,B,6,0
545,I,A,A,5,5
546,J,J,J,0,0
547,H,H,A,1,5
548,J,J,J,0,0
549,E,E,E,0,0
550,H,E,E,5,5
551,H,H,A,1,5
552,A,A,A,0,0
553,A,B,B,1,1
554,J,J,J,0,0
555,K,K,K,0,0
556,F,F,F,0,0
557,E,E,B,1,5
558,G,C,C,5,5
559,E,E,E,0,0
560,L,L,L,0,0
561,D,L,D,6,0
562,K,K,K,0,0
563,C,B,B,1,1
564,L,B,C,6,5
565,A,B,A,2,0
566,D,E,D,2,0
567,K,A,A,5,5
568,H,D,D,5,5
569,L,L,A,1,5
570,J,J,A,1,5
571,F,E,F,2,0
572,A,B,E,2,5
573,C,C,C,0,0
574,F,F,A,1,5
575,H,C,C,5,5
576,I,A,I,6,0
577,I,I,A,1,5
578,F,A,B,6,5
579,A,A,A,0,0
580,B,A,A,1,1
581,I,I,A,1,5
582,E,E,E,0,0
583,J,C,C,5,5
584,F,B,F,6,0
585,B,B,B,0,0
586,G,B,D,6,5
587,C,A,B,6,1
588,D,A,D,6,0
589,F,F,B,1,5
590,C,A,B,6,1
591,J,A,J,6,0
592,G,F,F,1,1
593,B,B,A,1,1
594,B,B,A,1,1
595,A,B,B,1,1
596,E,E,A,1,5
597,D,B,A,6,5
598,E,E,E,0,0
599,B,B,B,0,0
600,A,B,B,1,1
601,D,D,D,0,0
602,B,B,B,0,0
603,B,A,C,2,1
604,D,D,D,0,0
605,C,A,C,6,0
606,C,C,B,1,1
607,I,A,C,6,5
608,B,B,E,1,5
609,A,A,A,0,0
610,D,D,D,0,0
611,F,F,F,0,0
612,E,C,B,6,5
613,J,J,A,1,5
614,I,A,A,5,5
615,D,A,D,6,0
616,B,A,B,2,0
617,D,D,A,1,5
618,J,J,A,1,5
619,J,J,B,1,5
620,G,B,C,6,5
621,G,C,D,6,5
622,E,E,A,1,5
623,F,F,A,1,5
624,J,J,B,1,5
625,F,F,F,0,0
626,A,B,B,1,1
627,A,A,B,1,1
628,B,A,E,2,5
629,C,A,A,5,5
630,L,L,B,1,5
631,C,C,C,0,0
632,A,A,A,0,0
633,I,I,C,1,5
634,E,A,A,5,5
635,A,B,A,2,0
636,E,E,A,1,5
637,E,E,E,0,0
638,C,B,B,1,1
639,D,A,C,6,1
640,G,G,G,0,0
641,D,D,D,0,0
642,F,C,B,6,5
643,A,A,A,0,0
644,K,A,B,6,5
645,D,E,A,2,5
646,C,A,A,5,5
647,F,A,A,5,5
648,A,D,D,5,5
649,I,A,A,5,5
650,I,I,A,1,5
651,H,A,A,5,5
652,L,L,L,0,0
653,C,C,A,1,5
654,F,F,F,0,0
655,E,A,C,6,5
656,D,D,D,0,0
657,K,K,K,0,0
658,H,D,A,6,5
659,K,K,K,0,0
660,E,E,A,1,5
661,G,A,A,5,5
662,G,G,D,1,5
663,B,C,C,1,1
664,G,A,D,6,5
665,A,A,A,0,0
666,G,G,G,0,0
667,L,L,B,1,5
668,E,A,E,6,0
669,I,I,I,0,0
670,A,A,B,1,1
671,K,K,A,1,5
672,G,G,G,0,0
673,I,B,B,5,5
674,J,B,B,5,5
675,E,C,B,6,5
676,C,A,A,5,5
677,L,L,C,1,5
678,J,A,J,6,0
679,F,A,A,5,5
680,B,A,A,1,1
681,A,C,D,6,5
682,J,A,A,5,5
683,G,G,A,1,5
684,K,C,C,5,5
685,F,A,A,5,5
686,E,E,A,1,5
687,H,G,H,2,0
688,H,H,H,0,0
689,F,C,F,6,0
690,C,C,C,0,0
691,E,A,C,6,5
692,F,F,F,0,0
693,C,D,D,1,1
694,G,B,A,6,5
695,J,A,A,5,5
696,I,B,B,5,5
697,K,G,K,6,0
698,H,A,A,5,5
699,G,G,A,1,5
700,F,F,F,0,0
701,A,C,C,5,5
702,I,I,A,1,5
703,K,D,D,5,5
704,E,E,A,1,5
705,C,B,F,2,5
706,F,F,F,0,0
707,I,C,C,5,5
708,A,A,A,0,0
709,J,J,D,1,5
710,K,C,C,5,5
711,G,A,A,5,5
712,I,A,J,6,1
713,H,A,A,5,5
714,C,D,A,2,5
715,H,A,H,6,0
716,G,G,G,0,0
717,C,D,A,2,5
718,G,G,A,1,5
719,C,C,C,0,0
720,H,A,B,6,5
721,F,F,F,0,0
722,F,C,C,5,5
723,B,A,B,2,0
724,L,D,D,5,5
725,B,B,B,0,0
726,J,E,J,6,0
727,K,K,K,0,0
728,L,A,A,5,5
729,D,B,B,5,5
730,I,I,I,0,0
731,E,A,E,6,0
732,F,C,G,6,1
733,E,A,B,6,5
734,C,A,B,6,1
735,E,E,A,1,5
736,B,A,A,1,1
737,H,H,H,0,0
738,E,E,E,0,0
739,C,C,C,0,0
740,A,A,C,1,5
741,I,A,A,5,5
742,L,A,A,5,5
743,G,A,F,6,1
744,J,D,J,6,0
745,J,J,A,1,5
746,J,J,J,0,0
747,B,A,B,2,0
748,I,I,A,1,5
749,B,D,B,6,0
750,D,A,A,5,5
751,F,H,H,5,5
752,D,D,A,1,5
753,A,D,A,6,0
754,A,C,D,6,5
755,K,B,B,5,5
756,J,J,J,0,0
757,J,B,B,5,5
758,G,B,B,5,5
759,B,A,A,1,1
760,D,D,A,1,5
761,K,K,A,1,5
762,L,L,L,0,0
763,D,D,C,1,1
764,B,C,C,1,1
765,G,G,G,0,0
766,E,G,G,5,5
767,H,A,H,6,0
768,C,C,C,0,0
769,D,A,B,6,5
770,K,A,K,6,0
771,B,E,A,6,1
772,C,C,C,0,0
773,D,D,E,1,1
774,F,B,B,5,5
775,K,A,A,5,5
776,K,K,A,1,5
777,L,L,A,1,5
778,D,D,A,1,5
779,D,A,C,6,1
780,K,A,A,5,5
781,F,B,F,6,0
782,J,J,A,1,5
783,J,A,A,5,5
784,L,L,C,1,5
785,G,G,A,1,5
786,D,A,D,6,0
787,E,A,A,5,5
788,H,H,B,1,5
789,J,A,J,6,0
790,B,I,I,5,5
791,D,A,A,5,5
792,A,D,D,5,5
793,H,H,H,0,0
794,B,B,F,1,5
795,G,C,C,5,5
796,L,F,F,5,5
797,H,H,H,0,0
798,L,A,A,5,5
799,K,A,A,5,5
800,F,A,F,6,0
801,C,C,C,0,0
802,C,C,C,0,0
803,A,A,A,0,0
804,D,D,D,0,0
805,A,A,A,0,0
806,G,G,G,0,0
807,K,B,K,6,0
808,I,C,A,6,5
809,A,A,A,0,0
810,C,C,C,0,0
811,H,D,C,6,5
812,K,A,J,6,1
813,E,F,B,2,5
814,G,A,G,6,0
815,B,B,A,1,1
816,D,A,A,5,5
817,F,D,D,5,5
818,D,D,A,1,5
819,J,J,J,0,0
820,F,F,B,1,5
821,E,D,B,2,5
822,L,L,A,1,5
823,D,D,A,1,5
824,H,A,H,6,0
825,I,I,I,0,0
826,I,A,I,6,0
827,H,F,A,6,5
828,K,K,K,0,0
829,E,E,E,0,0
830,H,A,B,6,5
831,C,C,A,1,5
832,L,D,L,6,0
833,E,E,E,0,0
834,J,J,J,0,0
835,I,I,I,0,0
836,L,L,L,0,0
837,E,E,B,1,5
838,C,B,A,2,5
839,D,D,I,1,5
840,F,F,A,1,5
841,B,B,A,1,1
842,A,C,C,5,5
843,A,B,C,2,5
844,C,C,B,1,1
845,A,C,D,6,5
846,I,A,B,6,5
847,J,D,E,6,5
848,I,I,E,1,5
849,F,F,A,1,5
850,L,A,A,5,5
851,K,K,A,1,5
852,H,H,H,0,0
853,G,A,B,6,5
854,F,A,E,6,1
855,I,A,I,6,0
856,I,D,I,6,0
857,L,C,L,6,0
858,I,I,A,1,5
859,E,E,A,1,5
860,D,D,D,0,0
861,C,B,C,2,0
862,K,K,K,0,0
863,L,E,E,5,5
864,D,D,D,0,0
865,H,C,H,6,0
866,A,A,A,0,0
867,A,B,B,1,1
868,B,A,A,1,1
869,H,A,H,6,0
870,B,A,A,1,1
871,B,B,B,0,0
872,C,C,C,0,0
873,G,B,A,6,5
874,J,E,B,6,5
875,A,C,K,6,5
876,B,D,D,5,5
877,I,I,I,0,0
878,A,B,C,2,5
879,F,F,A,1,5
880,I,B,I,6,0
881,K,C,K,6,0
882,C,A,D,6,1
883,L,L,A,1,5
884,I,B,I,6,0
885,F,F,F,0,0
886,D,D,E,1,1
887,I,I,I,0,0
888,G,C,C,5,5
889,B,B,E,1,5
890,I,F,A,6,5
891,J,D,I,6,1
892,E,E,B,1,5
893,J,A,J,6,0
894,C,A,C,6,0
895,B,B,C,1,1
896,G,G,A,1,5
897,F,F,F,0,0
898,J,K,J,2,0
899,I,I,B,1,5
900,F,B,B,5,5
901,D,A,D,6,0
902,C,C,B,1,1
903,K,K,C,1,5
904,I,A,A,5,5
905,C,C,A,1,5
906,K,K,L,1,1
907,I,I,A,1,5
908,K,K,K,0,0
909,J,F,F,5,5
910,K,A,K,6,0
911,C,C,C,0,0
912,F,B,F,6,0
913,G,G,H,1,1
914,K,A,A,5,5
915,D,D,B,1,5
916,L,L,L,0,0
917,I,I,I,0,0
918,J,J,J,0,0
919,J,A,B,6,5
920,J,C,F,6,5
921,B,B,B,0,0
922,K,K,K,0,0
923,A,F,B,6,1
924,E,E,A,1,5
925,J,J,J,0,0
926,J,A,J,6,0
927,J,A,D,6,5
928,G,B,B,5,5
929,J,J,J,0,0
930,H,H,E,1,5
931,K,K,K,0,0
932,K,A,K,6,0
933,I,I,I,0,0
934,C,C,C,0,0
935,B,A,B,2,0
936,A,B,A,2,0
937,J,J,J,0,0
938,K,E,E,5,5
939,I,C,I,6,0
940,B,A,C,2,1
941,E,E,A,1,5
942,K,K,K,0,0
943,K,K,C,1,5
944,L,L,L,0,0
945,H,F,F,5,5
946,D,D,C,1,1
947,D,D,A,1,5
948,L,B,B,5,5
949,D,D,A,1,5
950,B,D,A,6,1
951,A,B,B,1,1
952,C,C,B,1,1
953,F,A,A,5,5
954,K,K,B,1,5
955,L,K,C,2,5
956,B,B,F,1,5
957,D,A,D,6,0
958,E,A,B,6,5
959,H,D,A,6,5
960,I,I,A,1,5
961,B,B,F,1,5
962,B,C,C,1,1
963,D,A,A,5,5
964,I,I,C,1,5
965,D,D,D,0,0
966,H,B,B,5,5
967,A,B,B,1,1
968,F,F,G,1,1
969,H,C,H,6,0
970,F,F,F,0,0
971,A,A,B,1,1
972,E,A,C,6,5
973,C,C,C,0,0
974,B,C,C,1,1
975,L,K,B,2,5
976,L,L,L,0,0
977,J,J,A,1,5
978,J,B,J,6,0
979,C,C,B,1,1
980,K,K,K,0,0
981,F,F,A,1,5
982,D,A,A,5,5
983,C,D,D,1,1
984,G,A,G,6,0
985,I,I,A,1,5
986,C,C,C,0,0
987,A,C,J,6,5
988,J,J,C,1,5
989,C,B,B,1,1
990,D,D,A,1,5
991,D,D,B,1,5
992,B,B,E,1,5
993,D,C,A,2,5
994,C,E,A,6,5
995,F,F,A,1,5
996,L,L,A,1,5
997,G,G,B,1,5
998,C,D,B,2,1
999,K,K,A,1,5
1000,J,A,J,6,0
1001,D,C,E,2,1
1002,E,E,E,0,0
1003,G,G,A,1,5
1004,C,C,E,1,5
1005,B,B,A,1,1
1006,B,B,B,0,0
1007,C,E,D,6,1
1008,K,K,A,1,5
1009,I,I,B,1,5
1010,G,F,G,2,0
1011,J,A,J,6,0
1012,A,A,B,1,1
1013,I,F,F,5,5
1014,C,C,C,0,0
1015,B,B,B,0,0
1016,L,C,C,5,5
1017,G,G,A,1,5
1018,A,B,B,1,1
1019,F,F,A,1,5
1020,I,J,B,2,5
1021,L,L,A,1,5
1022,L,B,B,5,5
1023,I,A,I,6,0
1024,D,D,C,1,1
1025,F,A,E,6,1
1026,K,K,K,0,0
1027,H,H,H,0,0
1028,D,D,A,1,5
1029,E,A,B,6,5
1030,A,B,C,2,5
1031,I,I,D,1,5
1032,H,H,B,1,5
1033,K,K,A,1,5
1034,I,I,B,1,5
1035,E,F,E,2,0
1036,I,I,I,0,0
1037,G,G,G,0,0
1038,J,J,A,1,5
1039,L,C,C,5,5
1040,E,E,E,0,0
1041,E,E,A,1,5
1042,E,E,A,1,5
1043,F,F,A,1,5
1044,J,J,A,1,5
1045,J,J,B,1,5
1046,I,A,A,5,5
1047,L,L,L,0,0
1048,A,A,A,0,0
1049,L,A,L,6,0
1050,E,E,A,1,5
1051,J,C,C,5,5
1052,L,B,E,6,5
1053,J,B,D,6,5
1054,H,B,A,6,5
1055,D,D,B,1,5
1056,H,H,H,0,0
1057,F,F,F,0,0
1058,G,G,G,0,0
1059,J,J,J,0,0
1060,F,B,F,6,0
1061,J,A,A,5,5
1062,E,B,G,6,5
1063,A,D,D,5,5
1064,K,K,K,0,0
1065,I,A,A,5,5
1066,B,B,A,1,1
1067,A,B,B,1,1
1068,A,A,B,1,1
1069,B,G,G,5,5
1070,F,A,F,6,0
1071,I,I,F,1,5
1072,A,K,C,6,5
1073,I,I,I,0,0
1074,D,A,A,5,5
1075,D,C,C,1,1
1076,G,G,G,0,0
1077,F,F,F,0,0
1078,H,H,I,1,1
1079,C,F,F,5,5
1080,A,B,A,2,0
1081,E,B,E,6,0
1082,F,A,A,5,5
1083,B,B,A,1,1
1084,H,H,B,1,5
1085,B,B,B,0,0
1086,G,G,G,0,0
1087,F,F,A,1,5
1088,B,A,A,1,1
1089,D,D,D,0,0
1090,H,A,A,5,5
1091,K,B,B,5,5
1092,D,A,D,6,0
1093,J,B,A,6,5
1094,K,A,K,6,0
1095,K,K,K,0,0
1096,G,G,G,0,0
1097,D,D,A,1,5
1098,B,B,A,1,1
1099,C,C,C,0,0
1100,D,B,D,6,0
1101,L,L,L,0,0
1102,I,I,A,1,5
1103,A,A,A,0,0
1104,C,B,G,2,5
1105,J,J,J,0,0
1106,H,A,A,5,5
1107,I,I,I,0,0
1108,E,E,E,0,0
1109,D,D,A,1,5
1110,G,A,A,5,5
1111,J,J,J,0,0
1112,A,A,B,1,1
1113,C,C,B,1,1
1114,A,A,A,0,0
1115,D,D,B,1,5
1116,B,C,B,2,0
1117,J,J,J,0,0
1118,L,L,L,0,0
1119,D,D,B,1,5
1120,G,A,G,6,0
1121,I,C,C,5,5
1122,G,G,G,0,0
1123,K,K,K,0,0
1124,B,B,A,1,1
1125,D,A,F,6,5
1126,E,B,B,5,5
1127,I,A,A,5,5
1128,H,H,A,1,5
1129,K,K,A,1,5
1130,F,A,B,6,5
1131,G,A,A,5,5
1132,K,B,K,6,0
1133,D,D,D,0,0
1134,B,B,B,0,0
1135,G,G,A,1,5
1136,E,G,E,6,0
1137,J,C,C,5,5
1138,L,L,D,1,5
1139,C,A,C,6,0
1140,I,I,I,0,0
1141,J,J,A,1,5
1142,G,G,G,0,0
1143,G,G,A,1,5
1144,H,H,H,0,0
